post_text,label
The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack. http://t.co/Z0C2BZVTHU,1
147 pelajar dilaporkan terbunuh oleh serangan #AlShabaab di #Kenya.Ambil tahu hal dunia. #GarissaAttack Doa. http://t.co/gTsSty3h1O,1
"Our Father!, strengthen their families in this moment of time that's hard to take in the#GarissaAttack http://t.co/MbMhByRPzS",1
This is what's happened to our fellow Kenyan.. #GarissaAttack.. \nRIP. Say amen http://t.co/bFub6QqSMh,1
Why take a picture? RT @joansalihi: The horror image from inside #Kenya campus #GarissaAttack http://t.co/KHR3jd4McU,1
“@joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed. http://t.co/JWs9ncq9Yh” wtfffff,1
eggheader: RT joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed f… http://t.co/qv7ttfEucS,1
Why. “@joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from . http://t.co/fGNMJDGs2h”,1
WHY “@joansalihi: The horror image from inside campus #GarissaAttack 147 students reported killed from attack. http://t.co/by1m2ASvEe”,1
"\""@BeautyArabian: An awful attack in Kenya by #AlShabaab. 147 people reported to be dead. #GarissaAttack http://t.co/clUc5xYKRr\""allah",1
An awful attack in Kenya by AlShabaab. 147 people reported to be dead. #WhatAShame #GarissaAttack @jaalaj1992 http://t.co/eAO8JMXemn,1
An awful attack in Kenya by #AlShabaab. 147 people reported to be dead. #GarissaAttack http://t.co/GuJnKYiDuu #PAT,1
“@BeautyArabian: An awful attack in Kenya by #AlShabaab. 147 people reported to be dead. #GarissaAttack http://t.co/LMcicgJV5q” smh,1
The World must see this! @CNN @ABC  horror image from inside #Kenya campus #GarissaAttack 147 killed http://t.co/GdiKowk0Be #PrayForKenya,1
"Humanity loses @joansalihi: The horror image from inside #Kenya campus #GarissaAttack #AlShabaab attack. http://t.co/au1DArBF9o\""",1
"No😢💔\""@joansalihi: horror image inside #Kenya campus #GarissaAttack 147students killed from #AlShabaab attack. http://t.co/JeLt9WeylI\""",1
Horror image from inside #Kenya campus.#GarissaAttack 147 s... http://t.co/qyCgAGpSMU #Garissa #Shabab #Somalia #Gunmen via @thisisbossmark,1
"Damn \""@joansalihi: horror image inside #Kenya campus #GarissaAttack 147students killed from #AlShabaab attack. http://t.co/4G5RNhy7fJ",1
@joansalihi: The horror image inside #Kenya campus #GarissaAttack 147students reported killed from #AlShabaab attack. http://t.co/aMXtQzcoHw,1
horror image inside #Kenya campus #GarissaAttack 147students killed from #AlShabaab attack. http://t.co/Tz4tJI3DsT,1
These scenes do not define us as #Africa  #KenyaAttack #GarissaAttack #PrayForKenya ts time we put a stop to this😢😳 http://t.co/eI1OYgVJNZ,1
RT @libertylynx: RT @alimhaider: was a time when the #GarissaAttack would have been a big deal. It's now new normal. http://t.co/J60qjP0JMW,1
Ce carnage a eu lieu hier matin dans une université à Garissa au Kenya. Peut pas rester indifférent #GarissaAttack http://t.co/wLeCu00x8A,1
Death toll reaches 147 in a kenyan university attack by Shabab bulldogs\n#IranDeal #BrainOfPakistanPTI #GarissaAttack\n http://t.co/rNuF81UJD8,1
This is just unbelievable. My heart is currently with the Kenyans. #GarissaAttack 😔💔 http://t.co/t0Z2ifHWR8,1
"\""@BeautyArabian: An awful attack in Kenya by #AlShabaab. #GarissaAttack http://t.co/dfaDMGN1Nr\"" No world media attention. Nobody cares.",1
#GarissaAttack May their soles rest in peace http://t.co/jNCSaqR8Bl,1
"#deochtend :The horror of #Kenyan attack \"" #BREAKING \n🔴WARNING! 🔞📷GRAPHIC CONTENT🔞\n#GarissaAttack #Kenya http://t.co/BWnBLvfEct”",1
"The horror of Kenyan attack \""@metesohtaoglu: #BREAKING \n🔴WARNING! 🔞📷GRAPHIC CONTENT🔞\n#GarissaAttack #Kenya http://t.co/VXI6JaeRTs”",1
How can this happen?! If this happened here or France etc there would have been chaos #GarissaAttack #RacistRant http://t.co/3jyipYyJr5,1
Why should going to school for education be a crime? This made me weak.. May all the lost souls RIP..#GarissaAttack http://t.co/htg4hrNPTz,1
"En ce vendredi St,\nAyons une pensée pieuse pour ces etudiants de Garissa #GarissaAttack http://t.co/BRabIh41Ud",1
¿hay muertos de primera y de segunda verdad? #GarissaAttack http://t.co/BaWy77A0Vd,1
Innocent souls just going to study..........#smh#GarissaAttack http://t.co/cYCLa73has,1
Killers of #AlShabaab in #GarissaAttack #Kenya massacred 147 non-#muslim people #isntlam http://t.co/CWHWSw02s1,1
The horror that happened at #GarissaAttack. http://t.co/J4udPxXyEV,1
