post_text,label
Earth cradled by clouds taken by Hubble telescope https://t.co/oFylFkZ36U,0
"Planet Earth wrapped up a blanket of clouds, taken by the hubble telescope. Cool or what? https://t.co/MQRysPhcpV",0
How cool is this photo of the Earth in clouds shot from Hubble telescope  Click here to vote https://t.co/Bt9KqTY7sL https://t.co/D8BiYlRYnG,0
Picture of Earth shrouded in the clouds. This picture was taken from the hubble Telescope. https://t.co/4u95gUVNaY,0
"RT @G_C_44: A phenomenal photograph of our home cradled by clouds, from the Hubble telescope\n#earth #hubble #clouds https://t.co/l7lyVZ6CVL",0
RT @Bretwinograd: The #earth cradled in clouds as seen from the #Hubble telescope https://t.co/MC0NHXWU12,0
The #earth cradled in clouds as seen from the #Hubble telescope https://t.co/MC0NHXWU12,0
Earth in a cradle of clouds - via the hubble telescope  #space #meteorology #spectaclar #science https://t.co/jUoAwyQ6YW,0
"@jamesrollins viewed Earth cradled in clouds taken by Hubble Telescope, just beautiful https://t.co/Rs61x4uXwn",0
RT @ClimateJette: #Earth in her cradle of clouds as seen from the #hubble telescope https://t.co/JgjM5VheAv,0
Earth in Her Cradle of Clouds. Namaste from  The Hubble Telescope. https://t.co/RY8BMtlNkI,0
"The earth cradled by clouds, from the Hubble telescope. https://t.co/JOCa4xsFAr",0
"RT @WagnerChaplain: The earth, cradled by clouds, from the Hubble telescope. #space #cosmos https://t.co/A3Vs3F7vim",0
"The earth, cradled by clouds, from the Hubble telescope. #space #cosmos https://t.co/A3Vs3F7vim",0
RT @aboveandbeyond9: #Wow... Mother Earth in her cradle of clouds - taken by the Hubble Telescope. #Nature #Hills #Mountains https://t.co/m…,0
"Feeling the #cold today?\n\nTake a look at this photograph of earth cradled by clouds, from the Hubble telescope! https://t.co/jCXBIfN3E4",0
"RT @G_C_44: A phenomenal photograph of our home cradled by clouds, from the Hubble telescope\n#earth #hubble #clouds https://t.co/l7lyVZ6CVL",0
"RT @G_C_44: A phenomenal photograph of our home cradled by clouds, from the Hubble telescope\n#earth #hubble #clouds https://t.co/l7lyVZ6CVL",0
